Omitted_Symbol,Remaining_Trades,Base_Net_Mean_Return,Base_Net_Return_PF
360ONE,1421,0.0054820443777093145,1.3272210429062508
3MINDIA,1422,0.005372979418275661,1.3194005919925553
AARTIIND,1422,0.005276420384492578,1.3131964354500159
AAVAS,1420,0.00518206248536523,1.3072132866535573
ABB,1420,0.005359627759590588,1.3187314904095078
ABBOTINDIA,1421,0.0053898652737977065,1.3200777924718166
ABCAPITAL,1420,0.005409221621276807,1.3220259897522226
ABFRL,1422,0.005420413480002292,1.322656505906748
ABLBL,1423,0.005392245737651771,1.3207401200421625
ABREL,1422,0.005417827617766205,1.32337738111459
ABSLAMC,1422,0.00537752162108478,1.320315675334849
ACC,1417,0.00532492353465029,1.3167439383523207
ACMESOLAR,1423,0.005287060159641538,1.3140486833380094
ADANIENSOL,1419,0.005311938759423556,1.3159698914094529
ADANIENT,1418,0.00523807906305706,1.310305039123319
ADANIGREEN,1421,0.005212343343046157,1.3091753905977601
ADANIPORTS,1421,0.0053299409173818485,1.3164918967560988
ADANIPOWER,1421,0.005378558266989549,1.3196518058508393
AEGISLOG,1422,0.0053301144664409175,1.3163835952753409
AFCONS,1421,0.005383074468024469,1.3196410368734202
AFFLE,1421,0.005394404304094258,1.3213268566348926
AIAENG,1418,0.005402132148873345,1.3209739405328702
AIIL,1422,0.005321029234395613,1.3158752998815364
AJANTPHARM,1419,0.005283597786179682,1.3142221977664432
ALKEM,1419,0.005308151132381221,1.3148401583926173
AMBER,1423,0.005334736102633953,1.3168806100934412
AMBUJACEM,1418,0.00536186995584747,1.318028142624913
ANANDRATHI,1423,0.005333620685034501,1.3168143548555769
ANANTRAJ,1423,0.005360640079552599,1.3184192931420318
ANURAS,1421,0.005461724274129835,1.3256144440527227
APLAPOLLO,1418,0.005375351335412785,1.3189857781422056
APLLTD,1422,0.0052941592159335485,1.314508992138714
APOLLOHOSP,1421,0.0053469668656523596,1.317755993216518
APOLLOTYRE,1418,0.005484177635552436,1.3272514047961588
APTUS,1420,0.0053647761855839604,1.3193458207400954
ARE&M,1421,0.0052697526920525055,1.3125806839053624
ASAHIINDIA,1422,0.005285290411405682,1.3137229402788757
ASHOKLEY,1421,0.005376460281740403,1.3191382194718666
ASIANPAINT,1417,0.005411728448404251,1.3208964183747534
ASTERDM,1421,0.0053447962962165025,1.31710321436763
ASTRAL,1417,0.005445651216322943,1.324229941975262
ATGL,1418,0.005341628937488614,1.3165084210152094
ATUL,1422,0.005344629689673647,1.3172451862489514
AUBANK,1420,0.005453059068498809,1.324625863467821
AUROPHARMA,1423,0.005359683460290797,1.3183624704446246
AVANTIFEED,1423,0.005315261956960096,1.3157238557491853
AWL,1421,0.005366281398311085,1.318600926472448
BAJAJ-AUTO,1423,0.005383351571442954,1.3200417645956144
BAJAJFINSV,1422,0.005367036924786353,1.3188883249087648
BAJAJHFL,1423,0.0053267404163547935,1.3164056703967981
BAJAJHLDNG,1416,0.005520225048770355,1.329095560458847
BAJFINANCE,1423,0.005380777170841624,1.3198397646511626
BALKRISIND,1418,0.005327486346223213,1.3161405616248876
BALRAMCHIN,1421,0.005379533138481493,1.3196826751814208
BANDHANBNK,1422,0.005282376980202803,1.3135500055615523
BANKBARODA,1422,0.005331589084349961,1.3168357396880697
BASF,1423,0.005391938276743539,1.3207159663823396
BATAINDIA,1420,0.005406968250368949,1.3216192427473783
BAYERCROP,1421,0.005391329374206813,1.3202110184667115
BBTC,1422,0.005429392216924921,1.3233638040346392
BCG,1423,0.005451020609743886,1.3253736677839276
BDL,1421,0.00544115454094113,1.3240466681801584
BEL,1423,0.0053052255381761376,1.3151276975801163
BEML,1421,0.005397799536081288,1.3207014634531429
