Symbol,Date,State_ID,Event,Leader_Date,Age,Leader_Close,ATR14_Seed,Pullback_Low,Pullback_Depth_ATR,Prior_High,High,Low,Close,SMA20,SMA50,SMA200
360ONE,2023-12-12 00:00:00,360ONE-2023-12-06,ACTIVE,2023-12-06 00:00:00,4,629.5401611328125,21.38899369328007,608.6024019952309,0.9789034228459157,632.0120540893272,629.5887162008772,608.6024019952309,624.6935424804688,562.8469268798829,528.7614672851563,461.759167175293
360ONE,2023-12-13 00:00:00,360ONE-2023-12-06,NEW_LEADER_CLOSE,2023-12-06 00:00:00,5,629.5401611328125,21.38899369328007,608.6024019952309,0.9789034228459157,629.5887162008772,664.0003385459603,623.2394536840848,659.5413818359375,569.5620574951172,532.1278485107422,462.91435089111326
360ONE,2023-12-13 00:00:00,360ONE-2023-12-13,SEEDED,2023-12-13 00:00:00,0,659.5413818359375,21.584645133254018,inf,,,664.0003385459603,623.2394536840848,659.5413818359375,569.5620574951172,532.1278485107422,462.91435089111326
360ONE,2023-12-14 00:00:00,360ONE-2023-12-13,NEW_LEADER_CLOSE,2023-12-13 00:00:00,1,659.5413818359375,21.584645133254018,659.1052031381233,0.020207823437512974,664.0003385459603,712.467557334226,659.1052031381233,685.8106079101562,576.7036956787109,536.1812701416015,464.17967193603516
360ONE,2023-12-14 00:00:00,360ONE-2023-12-14,SEEDED,2023-12-14 00:00:00,0,685.8106079101562,23.854481494886063,inf,,,712.467557334226,659.1052031381233,685.8106079101562,576.7036956787109,536.1812701416015,464.17967193603516
360ONE,2023-12-15 00:00:00,360ONE-2023-12-14,ACTIVE,2023-12-14 00:00:00,1,685.8106079101562,23.854481494886063,639.7668228402579,1.9301943360105844,712.467557334226,692.5475975573876,639.7668228402579,649.4118041992188,582.8517639160157,539.5201873779297,465.28462142944335
360ONE,2023-12-18 00:00:00,360ONE-2023-12-14,ACTIVE,2023-12-14 00:00:00,2,685.8106079101562,23.854481494886063,636.4224735049937,2.070392283133481,692.5475975573876,651.3988426578354,636.4224735049937,644.8557739257812,588.6072387695312,542.8574713134766,466.3995199584961
360ONE,2023-12-19 00:00:00,360ONE-2023-12-14,DEPTH_INVALIDATED,2023-12-14 00:00:00,3,685.8106079101562,23.854481494886063,624.5480651827052,2.5681775032747867,651.3988426578354,653.1921565251396,624.5480651827052,627.7468872070312,593.5024261474609,545.9064636230469,467.42851959228517
360ONE,2023-12-28 00:00:00,360ONE-2023-12-28,SEEDED,2023-12-28 00:00:00,0,687.0707397460938,25.746560105917712,inf,,,693.6622644690656,650.8657795354791,687.0707397460938,627.0707885742188,563.1731555175782,474.1385627746582
360ONE,2023-12-29 00:00:00,360ONE-2023-12-28,NEW_LEADER_CLOSE,2023-12-28 00:00:00,1,687.0707397460938,25.746560105917712,666.0359941112335,0.8169924661129964,693.6622644690656,693.0807054438185,666.0359941112335,688.0885620117188,633.7398742675781,566.2906555175781,475.4682664489746
360ONE,2023-12-29 00:00:00,360ONE-2023-12-29,SEEDED,2023-12-29 00:00:00,0,688.0885620117188,25.8392851935368,inf,,,693.0807054438185,666.0359941112335,688.0885620117188,633.7398742675781,566.2906555175781,475.4682664489746
360ONE,2024-01-02 00:00:00,360ONE-2023-12-29,ACTIVE,2023-12-29 00:00:00,1,688.0885620117188,25.8392851935368,654.3069660686382,1.3073734698949946,693.0807054438185,678.4921020546502,654.3069660686382,656.1487426757812,643.01650390625,572.0975537109375,477.9850914001465
360ONE,2024-01-03 00:00:00,360ONE-2023-12-29,ACTIVE,2023-12-29 00:00:00,2,688.0885620117188,25.8392851935368,632.884419866074,2.1364423099232237,678.4921020546502,661.1407485110802,632.884419866074,635.162353515625,645.3017272949219,574.4095971679687,479.07001434326173
