Entry_ID,Symbol,Leader_Date,Signal_Date,Pullback_Age,Leader_Close,ATR14_Seed,ATR14_Signal,Pullback_Low,Pullback_Depth_ATR,Close,Prior_High,SMA20,SMA50,SMA200,Median_Traded_Value_20,RS21,RS63,RS126,Composite_RS,RS_Coverage,Resumption_Volume_Ratio,Seed_Membership_OK,Seed_RS_Coverage_OK,Seed_Liquidity_OK,Seed_Trend_OK,Seed_RS_OK,Signal_Membership_OK,Signal_RS_Coverage_OK,Signal_Liquidity_OK,Signal_Trend_OK,Signal_RS_OK,Age_OK,Depth_OK,Resumption_OK,Not_New_Leader_OK,Signal_Qualified,Signal_Rejection_Reason
360ONE-2024-01-08,360ONE,2023-12-29 00:00:00,2024-01-08 00:00:00,5,688.0885009765625,25.839293713235495,24.62283264006401,624.3057171657601,2.4684414565918,651.8350830078125,644.5650215332923,647.7614288330078,582.1755596923828,482.6302734375,351614167.3285217,56.93877551020409,86.3265306122449,73.26530612244898,73.59183673469389,0.9780439121756487,1.5572950739807636,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
360ONE-2024-05-03,360ONE,2024-04-25 00:00:00,2024-05-03 00:00:00,5,818.8842163085938,41.69373219237298,37.323305803204924,750.3281330289548,1.6442779207993266,776.6597290039062,776.4636234247895,746.5257385253906,709.4836962890626,588.1720515441895,585211097.9763794,86.0655737704918,84.8360655737705,73.15573770491804,81.70081967213115,0.9740518962075848,0.9255005371371161,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
360ONE-2024-07-05,360ONE,2024-06-28 00:00:00,2024-07-05 00:00:00,5,961.2261962890625,41.926252507003376,41.71179631676707,902.4335701462913,1.4022866969317236,946.0744018554688,930.3833356894341,850.2141510009766,799.2607470703125,655.6968765258789,423773101.64538574,87.0182555780933,88.84381338742394,71.19675456389453,83.00202839756592,0.9820717131474104,0.973074524492921,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
360ONE-2024-07-15,360ONE,2024-07-10 00:00:00,2024-07-15 00:00:00,3,988.7345581054688,42.12605527467707,45.43639595390116,908.4158102644121,1.9066287435970308,968.336181640625,950.9288654217088,905.7017578125,820.8654528808594,669.0376194763184,611207260.9077454,96.55172413793103,87.0182555780933,85.39553752535497,89.39148073022312,0.9801192842942346,0.7306655549155207,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
360ONE-2024-10-21,360ONE,2024-10-16 00:00:00,2024-10-21 00:00:00,3,1103.307861328125,46.628845137815176,47.36865391311685,1029.963839074524,1.5729324206256243,1086.2498779296875,1070.6669023400968,1030.7356018066407,1050.581767578125,835.4095944213867,820008083.3927612,81.0204081632653,77.9591836734694,81.63265306122449,79.9795918367347,0.98,1.549649299026259,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
360ONE-2024-12-09,360ONE,2024-12-03 00:00:00,2024-12-09 00:00:00,4,1137.22705078125,41.90036200073218,39.940238020271984,1083.7920872310838,1.275286441421019,1119.4317626953125,1109.4526738355585,1074.4004211425781,1044.8971057128906,904.1659231567382,389781588.0377197,82.99595141700405,71.05263157894737,90.08097165991903,80.34412955465586,0.988,1.7320166473077185,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
360ONE-2024-12-20,360ONE,2024-12-17 00:00:00,2024-12-20 00:00:00,3,1230.7752685546875,40.75961499583086,41.69776944886552,1175.865561367542,1.3471596135724513,1228.46484375,1219.026536996046,1148.8309326171875,1082.0086376953125,926.6585931396485,720697830.5355835,88.46153846153845,92.91497975708502,95.34412955465586,92.30769230769229,0.988,2.3661732037670773,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
360ONE-2025-07-17,360ONE,2025-07-07 00:00:00,2025-07-17 00:00:00,8,1239.46435546875,48.03787712463822,40.19761236527654,1161.1199772190057,1.6308876024324173,1192.576416015625,1190.1034277710814,1179.9740356445313,1088.1033178710939,1043.038617553711,805454515.1503296,74.44668008048289,81.48893360160966,50.10060362173038,69.95975855130784,0.994,0.6951232013350604,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,RS_FAIL
360ONE-2025-12-30,360ONE,2025-12-24 00:00:00,2025-12-30 00:00:00,3,1189.0972900390625,33.27313254579181,34.06288018380745,1157.5802910212308,0.9472206734504716,1184.72265625,1181.1434724551868,1142.5475341796875,1127.355810546875,1055.5083081054688,537886511.7652588,68.27309236947792,92.16867469879519,60.8433734939759,75.60240963855422,0.9940119760479041,1.9876616641618865,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
3MINDIA-2024-07-22,3MINDIA,2024-07-09 00:00:00,2024-07-22 00:00:00,8,38783.078125,1167.9789795732588,1170.0637693951624,35874.1971214798,2.4905251330661846,37210.4609375,37194.85591341118,37045.3490234375,33668.2584765625,30827.71294921875,241169913.10351562,71.6024340770791,87.2210953346856,47.05882352941176,70.4868154158215,0.9801192842942346,0.448307550926635,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
3MINDIA-2025-11-26,3MINDIA,2025-11-17 00:00:00,2025-11-26 00:00:00,7,35614.22265625,914.3123974980756,778.5145914560259,34367.281964503934,1.3638015793706768,35012.9296875,34934.073507013316,34139.825,31138.5406640625,29170.47107421875,230665806.28710938,98.582995951417,88.8663967611336,84.0080971659919,90.3238866396761,0.9840637450199203,0.6989091463879777,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
AADHARHFC-2025-07-28,AADHARHFC,2025-07-22 00:00:00,2025-07-28 00:00:00,4,519.5999755859375,15.650079100763529,17.23853149999077,494.95001220703125,1.5750695712268725,516.5499877929688,512.6500244140625,481.9999969482422,458.4229986572266,433.7299998474121,331022126.21569824,97.38430583501007,56.53923541247485,91.14688128772636,79.17505030181087,0.9920159680638723,9.712600738056231,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
AARTIIND-2024-01-31,AARTIIND,2024-01-19 00:00:00,2024-01-31 00:00:00,6,676.1149291992188,24.564625504262956,23.7952403724519,627.4155012939531,1.9825023547301528,656.3961181640625,648.8273022479685,625.7921936035157,594.2451379394531,519.1436093139648,982885407.4659119,43.06122448979592,84.6938775510204,70.61224489795919,67.9795918367347,0.9780439121756487,0.9352541504561802,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,RS_FAIL
AARTIIND-2024-03-01,AARTIIND,2024-02-20 00:00:00,2024-03-01 00:00:00,8,701.0123901367188,24.537604269855304,22.64970318385347,640.2127981816802,2.47781288207225,670.4880981445312,658.2883653567455,667.5974792480469,642.307158203125,532.7995185852051,996927821.7599792,68.22810590631364,67.20977596741345,74.74541751527495,69.77596741344196,0.9800399201596807,0.6640041187620104,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,RS_FAIL
AARTIIND-2026-07-27,AARTIIND,2026-07-16 00:00:00,2026-07-27 00:00:00,7,504.75,15.628160376519974,15.386302606147117,469.0,2.2875373133303287,486.1000061035156,480.54998779296875,483.9925018310547,475.5960009765625,425.0170004272461,270522803.6126404,72.6,35.4,89.4,62.76,1.0,0.6383759455958202,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,RS_FAIL
AAVAS-2024-06-18,AAVAS,2024-06-12 00:00:00,2024-06-18 00:00:00,3,1907.449951171875,72.66147453457624,72.80671924352109,1822.1500244140625,1.1739360824176805,1900.449951171875,1868.0,1674.257501220703,1614.052001953125,1547.2722479248048,431809371.7429199,87.37270875763747,85.74338085539715,57.43380855397149,77.73930753564154,0.9780876494023905,1.5046402539692048,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
