Entry_ID,Symbol,Seed_Date,Signal_Date,Base_Age,Original_Pivot,Active_Pivot,ATR14_Seed,ATR14_Signal,Base_Low,Base_Depth_ATR,Initial_TR_Mean,Final_TR_Mean,Contraction_Ratio,Final_5_Prebreakout_Low,Close,SMA50,SMA200,Median_Traded_Value_20,RS21,RS63,RS126,Composite_RS,RS_Coverage,Breakout_Volume_Ratio,Signal_Extension_ATR,Membership_OK,RS_Coverage_OK,Liquidity_OK,Trend_OK,RS_OK,Contraction_OK,Extension_OK,Signal_Qualified,Signal_Rejection_Reason,Entry_Date,Entry_Open,Structural_Stop,Initial_Risk
AJANTPHARM-2023-08-16,AJANTPHARM,2023-07-28,2023-08-16,12,1641.2895641536438,1699.9365242387526,57.060496649754846,55.10050533338799,1537.1832466861597,2.852293392249892,68.6955713156367,41.305730302262646,0.6012866551829741,1609.2233118061117,1701.6163330078125,1445.8310083007811,1236.887632446289,288861684.9273071,97.75051124744377,91.8200408997955,87.93456032719837,92.43353783231083,0.9741035856573705,1.363154507755695,0.030486267937039603,True,True,True,True,True,True,True,True,,2023-08-17,1700.992309272465,1595.4481854727646,105.5441237997004
INTELLECT-2023-08-31,INTELLECT,2023-07-28,2023-08-31,23,679.7160577475164,717.4018284937719,26.732163657846318,24.632566928302342,639.380654041004,2.9186254974115178,30.698140003415073,20.09902909387149,0.65473116910782,672.3555872667881,721.3274536132812,638.5168737792969,499.5482322692871,387950170.3425598,77.75510204081633,70.61224489795919,87.95918367346938,77.95918367346938,0.9760956175298805,2.6749112078909496,0.1593672771065903,True,True,True,True,True,True,True,True,,2023-09-01,727.0685876915489,666.1974455347125,60.87114215683641
HEG-2023-09-08,HEG,2023-07-31,2023-09-08,28,348.0824193024242,353.0604878489653,12.750356213367636,11.045950104789345,320.7029875750384,2.5377722576882125,12.211611333595226,7.925981167898646,0.6490528523532001,340.7038069394777,357.1991271972656,326.04693359375,240.1326833343506,309210680.48301697,56.53061224489796,86.73469387755102,95.51020408163265,80.3061224489796,0.9780439121756487,14.662769876830623,0.37467481828529026,True,True,True,True,True,True,True,True,,2023-09-11,360.11179837761483,337.94231941328036,22.169478964334473
ETERNAL-2023-09-15,ETERNAL,2023-08-04,2023-09-15,29,98.4000015258789,102.8499984741211,3.754647243203921,3.423542410247301,88.30000305175781,3.875196384613607,4.669999694824218,3.480000305175781,0.7451821268923595,96.5,102.94999694824219,89.82600006103516,67.36850008010865,6669233461.239891,80.20408163265306,88.57142857142857,96.53061224489797,88.44897959183675,0.9780439121756487,2.1772116732011,0.0292090653884642,True,True,True,True,True,True,True,True,,2023-09-18,103.5999984741211,95.64411439743817,7.955884076682921
TORNTPOWER-2023-10-03,TORNTPOWER,2023-09-08,2023-10-03,15,703.1327333766327,717.8692864991777,19.44957606044835,18.24120775441765,669.1472621372768,2.5050429999335315,24.817012524519942,14.890204824178522,0.5999998915851197,681.8197350724141,718.0133056640625,652.5991162109375,543.6481103515625,283549555.7229004,88.36734693877551,76.32653061224491,68.36734693877551,77.55102040816327,0.9780439121756487,0.8113636141349531,0.007895264766658586,True,True,True,True,True,True,True,True,,2023-10-04,718.0133339584579,677.2594331338097,40.75390082464821
SUNDARMFIN-2023-11-07,SUNDARMFIN,2023-10-10,2023-11-07,19,3243.5090374182746,3255.043296796554,110.5375576695723,111.69781650949334,2876.461513734876,3.4249153956645655,116.96658664080442,83.800306272118,0.7164465398093767,3071.6177268753586,3264.378662109375,2930.306572265625,2510.1151293945313,201850256.54821777,79.55010224948876,90.38854805725971,78.32310838445807,83.51738241308793,0.9760479041916168,1.598199582830168,0.0835769722680984,True,True,True,True,True,True,True,True,,2023-11-08,3275.5706832278697,3043.6932727479852,231.87741047988447
SUNTV-2023-11-13,SUNTV,2023-10-18,2023-11-13,17,620.2056222361489,621.7915503151735,18.233770554926956,15.377722273166297,572.9997544825532,2.6759026985472443,17.08177168180355,9.795666973116363,0.5734573178700926,598.42197961387,627.1558837890625,582.4447265625,466.15376739501954,610652379.6975403,78.57142857142857,85.3061224489796,84.48979591836735,83.0408163265306,0.9780439121756487,2.2280321420305462,0.3488379734396448,True,True,True,True,True,True,True,True,,2023-11-15,630.6077096951634,594.5775490455784,36.030160649585014
WELSPUNLIV-2023-11-13,WELSPUNLIV,2023-10-30,2023-11-13,10,155.92654127965667,156.37063199502828,7.981211429166812,7.267124402376167,144.52810829634396,1.483800273152343,7.164723520181264,5.19097277762832,0.7245182264195718,145.169586728806,156.56800842285156,129.17231170654296,97.50636276245118,763532364.5474548,98.16326530612245,91.83673469387756,90.81632653061224,93.42857142857143,0.9780439121756487,1.794098048146836,0.027160182885922417,True,True,True,True,True,True,True,True,,2023-11-15,157.9003038831177,143.35280562821197,14.547498254905719
BAJAJ-AUTO-2023-11-15,BAJAJ-AUTO,2023-10-19,2023-11-15,17,5242.198087165852,5256.507630345472,103.89074843898617,88.15720813902571,4995.113303882436,2.5160500852157117,102.82174489511817,55.77040182945511,0.5423989048847877,5102.962623321685,5281.9794921875,4880.52818359375,4277.197362060547,2032916009.7070312,86.73469387755102,80.0,57.95918367346938,75.40816326530611,0.9780439121756487,1.6109889778198117,0.2889368025568452,True,True,True,True,True,True,True,True,,2023-11-16,5266.048039261652,5080.9233212869285,185.12471797472335
SHRIRAMFIN-2023-11-15,SHRIRAMFIN,2023-10-27,2023-11-15,12,387.1752917342038,387.7264435574864,11.799213024795943,10.240417738942915,355.80558287424094,2.705338111632025,10.518225599071751,7.477466972524849,0.7109057418567583,371.25326213715,392.2251892089844,364.2929962158203,300.7372104644775,1753221132.2922516,85.91836734693878,69.38775510204081,84.6938775510204,78.93877551020408,0.9780439121756487,1.299480667587331,0.439312708346835,True,True,True,True,True,True,True,True,,2023-11-16,392.427483055073,368.6931577024143,23.734325352658743
