Omitted_Symbol,Remaining_Entry_Count,Setup_Mean_Return,Setup_Return_PF,Practical_Mean_R,Practical_R_PF
360ONE,84,-0.014057661871849219,0.5703537882123961,-0.12184608189512248,0.7466229126468631
ACC,84,-0.014556222904493654,0.5617934116968529,-0.12914413301808456,0.7354614126398975
ADANIENSOL,84,-0.014985125831047946,0.5534779361017693,-0.13516376445607137,0.7257190301867401
AIIL,83,-0.013670986398252276,0.5800948333218816,-0.11207807308600634,0.764267562531141
AJANTPHARM,83,-0.014073766437244617,0.573005940161324,-0.1207669642018689,0.7505510630788091
AMBUJACEM,84,-0.014629638225618666,0.5605545159450251,-0.12899694190105826,0.7356832255419424
ANANDRATHI,84,-0.014746496263457714,0.5585937485345038,-0.13159105834616622,0.7317934610944595
ARE&M,84,-0.013877264638381924,0.5735158707910482,-0.12184608189512248,0.7466229126468631
ASAHIINDIA,84,-0.014398906628547798,0.5644666776765859,-0.12184608189512248,0.7466229126468631
ATUL,84,-0.014496254869206042,0.5628094531081901,-0.12566941694856137,0.7407336596793862
AUBANK,84,-0.016211648526321648,0.5169303987980178,-0.15809995845676886,0.6791757753458249
BAJAJ-AUTO,84,-0.020149624352047826,0.3995878343704741,-0.28313376565396625,0.4254510138648196
BAJFINANCE,84,-0.014485990879259952,0.5629837248632586,-0.12184608189512247,0.7466229126468631
BEL,84,-0.014822529964844067,0.5573253242601426,-0.12184608189512247,0.7466229126468631
BLUESTARCO,84,-0.014409592093706751,0.5642842951328452,-0.1252987814164446,0.7413004962738031
BOSCHLTD,84,-0.014733352505828402,0.5588136034330001,-0.13040120020244653,0.7335724826132585
CANFINHOME,84,-0.014643861753006597,0.5603151231491255,-0.12184608189512248,0.7466229126468631
CESC,84,-0.014201646734870375,0.5678548697483393,-0.12279319016379138,0.7451553312020851
CHENNPETRO,84,-0.013007628644772916,0.5892646501766735,-0.12184608189512248,0.7466229126468631
COCHINSHIP,84,-0.015243535787299159,0.5457779175434951,-0.13656910813056408,0.722867237566788
CPPLUS,84,-0.01408076421686507,0.5699513569126957,-0.12409610651024357,0.7431458134889055
DIXON,84,-0.016276518085750456,0.5149974360797265,-0.15514276794859982,0.6851766520139705
EMAMILTD,84,-0.014580948534086395,0.561375551447683,-0.1307926276098051,0.7329862842941836
ENGINERSIN,84,-0.014303400736521796,0.566102050460374,-0.12547616280241666,0.7410291073870839
ETERNAL,84,-0.01432360437877698,0.5657553083414424,-0.126269109658199,0.7398183450521328
EXIDEIND,84,-0.014597118577009682,0.5611026156351856,-0.12772838202218803,0.7376004698961711
FSL,84,-0.01475421131678636,0.5584647798244777,-0.13176523019304545,0.7315337710390845
GODREJPROP,84,-0.013546440905952946,0.5794067375820979,-0.12184608189512248,0.7466229126468631
HAL,84,-0.01495590201685352,0.5543487381207979,-0.13487431258112528,0.7263064001915188
HCLTECH,84,-0.015051720270998352,0.5514935759364918,-0.13646608112618028,0.7230763050398125
HDFCAMC,84,-0.016434831266809443,0.5102800697295361,-0.16299672650540198,0.6692390123773282
HEG,84,-0.014112937377433904,0.5693918617482522,-0.12184608189512248,0.7466229126468631
HOMEFIRST,83,-0.014593360735606123,0.5613488395073618,-0.12865709430589964,0.7370506300566707
HYUNDAI,84,-0.014602221218251735,0.5610165427107126,-0.1298596072189417,0.7343851154825654
ICICIPRULI,84,-0.014850414922033137,0.5568615789000874,-0.13292669988435232,0.7298067223630275
INDIACEM,84,-0.014999331990152073,0.5530546254432697,-0.1352435071666095,0.7255572123499111
INDUSTOWER,84,-0.014985218818517583,0.5534751652904111,-0.13537668299986086,0.7252869653880359
INTELLECT,84,-0.013807069510799514,0.5747557783794564,-0.12184608189512248,0.7466229126468631
J&KBANK,84,-0.015402313020166267,0.5410467235235572,-0.1403958355695328,0.7151018537200508
JBMA,84,-0.0148306927063348,0.5571894925083843,-0.12184608189512251,0.7466229126468631
JKCEMENT,84,-0.014584127433031982,0.5613218735193014,-0.1289550222228704,0.7357464218066806
JSL,84,-0.013896172796705944,0.5731827962938053,-0.12184608189512248,0.7466229126468631
JSWSTEEL,84,-0.014328820070050903,0.5656658637573496,-0.12184608189512248,0.7466229126468631
KAYNES,84,-0.016056077824526838,0.5215660456141151,-0.14634643469536646,0.7030266048116495
KPIL,84,-0.01454062862659801,0.5620572732087885,-0.12849563023334218,0.7364396931079812
LALPATHLAB,83,-0.01539427916428803,0.5432721757569199,-0.1414170909955605,0.7132617451838296
LLOYDSME,84,-0.014363285139165138,0.5650755278667537,-0.1268019655260348,0.7390069397842569
LT,84,-0.015099249529633681,0.5500773140444877,-0.1396594714127334,0.7165961201447499
MINDACORP,83,-0.014849473024402812,0.5535258373603592,-0.13110617776607314,0.7306123178409435
NAM-INDIA,84,-0.014607797830078309,0.5609225048996938,-0.1293257105919136,0.7351879645168695
NATCOPHARM,84,-0.014640679408942984,0.5603686666647956,-0.1302212459734794,0.7338422952495222
NCC,84,-0.01381726238500346,0.5745754016104622,-0.12179476833903002,0.7467025901179909
OFSS,84,-0.014397332800664667,0.5644935501778575,-0.12789823960456864,0.7373431755485397
PAGEIND,84,-0.014870370136461161,0.5565301839086292,-0.13317395219417627,0.729440122480008
PNB,83,-0.013546763764498362,0.5823166658457358,-0.11446420820897106,0.7604510649017946
POLYCAB,84,-0.015038558695034463,0.5518857604352949,-0.13648673799902974,0.7230343870957447
PRESTIGE,83,-0.013456536408532147,0.5839411628352108,-0.11784699604082456,0.7551053371670253
PTCIL,84,-0.014478070179155327,0.5631182838172678,-0.1281092363414645,0.7370238149140462
RATNAMANI,84,-0.014708332720550039,0.5592325866060133,-0.1308387530620297,0.7329172689120017
SAREGAMA,84,-0.013983699861382683,0.5716460002155737,-0.12184608189512247,0.7466229126468631
SBILIFE,84,-0.014692495343346596,0.5594981253701831,-0.12875340644683997,0.7360505206386676
SCHAEFFLER,84,-0.01407645145984862,0.5700264398658833,-0.12341841589625116,0.7441896767310647
SHRIRAMFIN,84,-0.014401348051279649,0.5644249963919661,-0.12553649247170573,0.7409368498484223
